Company,Day,Date,Title,Apply,Location,Industry,Type,Description
Foot Locker,Wednesday,10/10/2018,PRINCIPAL DATA SCIENTIST,Website,New York,Technology,Full Time,"Advanced SQL skills and is comfortable operating with relational data models and structure.
Advanced/expert level skills with NoSQL databases and can interact with large amounts of data stored in a Hadoop environment.
Advance skills with accessing data via a variety of API/RESTful services.
Advanced/expert level programming skills in either R, Python, or similar analytical language.
Strong knowledge of Linux and Bash. Can interact with the OS at the command line and create shell scripts to automate workflows.
Advanced knowledge of Apache Spark.
Strong knowledge of cloud environments such as AWS and Azure.
Experience with popular Deep Learning frameworks such as Tensorflow, Keras, or Caffe.
Advanced understanding of software development and collaboration, including experience with tools such as Git.
Excellent written and verbal communication skills, comfortable presenting in front of large audiences.      
Can effectively and succulently decompose highly complex findings to non-technical audiences.
Excellent data visualization skills, is able to determine the appropriate visualization for a variety of data types and create compelling stories with data.
An advanced understanding of supervised and unsupervised learning techniques including; variable selection, feature engineering, model generation, model diagnostics, and deployment.
Excellent statistical skills that are grounded in a thorough understanding of testing and frequentist/Bayesian methodologies.
A proven track record of leading successful projects and driving measurable, viable results using Data Science techniques."
Wayfair,Wednesday,10/10/2018,Data Science Summer Intern,Website,Boston,Technology,Internship,"Currently enrolled in an undergraduate, Master’s, or PhD degree program at a top-tier institution with a strong academic track record.
Currently obtaining a Degree focused within either Statistics, Economics, Mathematics, Computer Science or other major with a heavy quantitative concentration.
An affinity for data along with experience leveraging statistics and regression analysis is a plus.
Experience with or an interest and ability to quickly learn SQL and Hadoop.
Experience with or interest and ability to quickly pick-up programming skills relevant to data science such as Python and R.
Quick learner with an analytical approach to solving problems who has good communication skills.
Must be a hard worker who enjoys solving challenging problems in a fast-paced environment."
Wayfair,Wednesday,10/10/2018,Operations Research Associate – Full Time,Website,Boston,Technology,Full Time,"Currently enrolled in a Master’s or PhD degree program at a top-tier institution with a strong academic track record.
Currently obtaining a degree focused within either Operations Research, Applied Mathematics, Industrial Engineering, Computer Science or a related field.
Strong knowledge of linear programming and mixed-integer programming
Experience implementing models with AMPL, R, Matlab, or similar tools.
Experience using Python, C++, Java, or similar languages.
Familiarity with data analysis."
Argo Group,Wednesday,10/10/2018,Data Scientist,Website,New York,Finance,Full Time,"Argo Group International Holdings, Ltd. (ARGO) is an international underwriter of specialty insurance and reinsurance products in areas of the property and casualty market. Through our operating subsidiaries, Argo Group offers a comprehensive line of products and services designed to meet the unique coverage and claims-handling needs of our clients."
Argo Group,Wednesday,10/10/2018,Data Solutions Engineer,Website,New York,Finance,Full Time,"Argo Group International Holdings, Ltd. (ARGO) is an international underwriter of specialty insurance and reinsurance products in areas of the property and casualty market. Through our operating subsidiaries, Argo Group offers a comprehensive line of products and services designed to meet the unique coverage and claims-handling needs of our clients."
Itemize,Friday,10/12/2018,Data Operations Lead,Email,New York,Finance,Full Time,"Bachelors and/or Master’s Degree in a relevant discipline
3-5 years’ hands-on experience in high volume data environments
2+ years’ experience with MySQL or other types of relational database
The ability to measure and drive to results using a proven methodology, such as Six Sigma
The ability generate actionable business intelligence for senior management"
Thinkful,Friday,10/12/2018,Curriculum Writer: Data Analytics & BI,Website,New York,Technology,Full Time,"Help us tell our students the story of how to tell stories with data! As a curriculum writer, you'll design the syllabus and write learning materials for our Data Analytics and Business Intelligence program. You'll teach our students how to use tools like Excel, Tableau, and Python to analyze and visualize data in order to drive business decision-making. 

"
Mercer,Friday,10/12/2018,Workforce Strategy & Analytics – Sr. Analyst,Email,New York,Finance,Full Time,"Master’s in economics, I-O or related psychology or labor relations, statistics or data science related field;
PhDs with strong quantitative backgrounds will be also be considered for more senior roles
Demonstrable record of conducting complex empirical analyses
Exceptional analytical and problem-solving skills
Exceptional statistical background, especially in multiple regression analysis and inferential statistics
Expert in working with large data sets
Self-direction and self-motivation (must be fully able to work without supervision)
Solid interpersonal skills - ability to work closely with other team members and handle sensitive client
interactions is crucial
Supervisory or training experience is highly valued"
SiriusXM,Friday,10/19/2018,Spring Internships,Website,New York,Technology,Internship,"Build statistical models.
Review weekly model trend reports.
Complete QC requirements for model use in campaigns.
Support design of tests for marketing.
Produce data visualization to monitor trends.
Complete model decks and documentation.
Communicate with the business intelligence solutions team.
Perform other duties as assigned."
Care/of,Friday,10/19/2018,Data Engineer,Email,New York,Health,Full Time,"Bachelor's degree, preferably in computer science
High proficiency with Python and SQL. You have opinions about what is Pythonic
2+ years of experience with data modeling for a data warehouse
2+ years of experience with engineering tools: GitHub, CI/CD, Docker, ETL frameworks (Airflow)
Familiarity with the suite of AWS data products (Redshift, S3, Kinesis, DynamoDB)
Bonus: experience productionizing machine learning models"
